byte_value,count,frequency
0,108,0.00164870
1,151,0.00230513
2,181,0.00276311
3,188,0.00286997
4,203,0.00309895
5,176,0.00268678
6,225,0.00343480
7,179,0.00273257
8,212,0.00323634
9,240,0.00366379
10,226,0.00345007
11,215,0.00328214
12,226,0.00345007
13,226,0.00345007
14,228,0.00348060
15,207,0.00316002
16,229,0.00349586
17,261,0.00398437
18,283,0.00432021
19,251,0.00383171
20,246,0.00375538
21,227,0.00346533
22,218,0.00332794
23,252,0.00384698
24,236,0.00360272
25,261,0.00398437
26,258,0.00393857
27,256,0.00390804
28,223,0.00340427
29,265,0.00404543
30,234,0.00357219
31,224,0.00341953
32,201,0.00306842
33,240,0.00366379
34,288,0.00439654
35,275,0.00419809
36,256,0.00390804
37,308,0.00470186
38,307,0.00468659
39,266,0.00406070
40,281,0.00428968
41,281,0.00428968
42,284,0.00433548
43,239,0.00364852
44,253,0.00386224
45,301,0.00459500
46,270,0.00412176
47,238,0.00363325
48,247,0.00377065
49,280,0.00427442
50,306,0.00467133
51,290,0.00442708
52,265,0.00404543
53,281,0.00428968
54,297,0.00453394
55,275,0.00419809
56,247,0.00377065
57,405,0.00618264
58,255,0.00389277
59,264,0.00403017
60,250,0.00381644
61,250,0.00381644
62,261,0.00398437
63,214,0.00326688
64,182,0.00277837
65,246,0.00375538
66,249,0.00380118
67,234,0.00357219
68,264,0.00403017
69,245,0.00374012
70,284,0.00433548
71,276,0.00421335
72,266,0.00406070
73,301,0.00459500
74,286,0.00436601
75,294,0.00448814
76,275,0.00419809
77,283,0.00432021
78,265,0.00404543
79,237,0.00361799
80,218,0.00332794
81,274,0.00418282
82,297,0.00453394
83,302,0.00461026
84,242,0.00369432
85,272,0.00415229
86,283,0.00432021
87,250,0.00381644
88,240,0.00366379
89,254,0.00387751
90,263,0.00401490
91,253,0.00386224
92,230,0.00351113
93,263,0.00401490
94,286,0.00436601
95,275,0.00419809
96,216,0.00329741
97,259,0.00395384
98,259,0.00395384
99,244,0.00372485
100,281,0.00428968
101,281,0.00428968
102,279,0.00425915
103,268,0.00409123
104,260,0.00396910
105,282,0.00430495
106,267,0.00407596
107,269,0.00410649
108,280,0.00427442
109,275,0.00419809
110,234,0.00357219
111,241,0.00367905
112,222,0.00338900
113,247,0.00377065
114,294,0.00448814
115,280,0.00427442
116,253,0.00386224
117,271,0.00413703
118,274,0.00418282
119,252,0.00384698
120,216,0.00329741
121,253,0.00386224
122,243,0.00370958
123,245,0.00374012
124,250,0.00381644
125,266,0.00406070
126,243,0.00370958
127,250,0.00381644
128,163,0.00248832
129,198,0.00302262
130,216,0.00329741
131,227,0.00346533
132,255,0.00389277
133,241,0.00367905
134,276,0.00421335
135,228,0.00348060
136,241,0.00367905
137,298,0.00454920
138,302,0.00461026
139,253,0.00386224
140,246,0.00375538
141,286,0.00436601
142,244,0.00372485
143,249,0.00380118
144,249,0.00380118
145,312,0.00476292
146,291,0.00444234
147,291,0.00444234
148,261,0.00398437
149,275,0.00419809
150,279,0.00425915
151,233,0.00355693
152,277,0.00422862
153,301,0.00459500
154,323,0.00493085
155,311,0.00474766
156,264,0.00403017
157,262,0.00399963
158,266,0.00406070
159,249,0.00380118
160,246,0.00375538
161,245,0.00374012
162,254,0.00387751
163,273,0.00416756
164,289,0.00441181
165,264,0.00403017
166,285,0.00435075
167,285,0.00435075
168,251,0.00383171
169,277,0.00422862
170,264,0.00403017
171,268,0.00409123
172,275,0.00419809
173,287,0.00438128
174,266,0.00406070
175,219,0.00334321
176,245,0.00374012
177,255,0.00389277
178,299,0.00456447
179,278,0.00424389
180,276,0.00421335
181,294,0.00448814
182,277,0.00422862
183,233,0.00355693
184,263,0.00401490
185,260,0.00396910
186,259,0.00395384
187,260,0.00396910
188,232,0.00354166
189,239,0.00364852
190,214,0.00326688
191,216,0.00329741
192,163,0.00248832
193,244,0.00372485
194,245,0.00374012
195,273,0.00416756
196,275,0.00419809
197,276,0.00421335
198,279,0.00425915
199,265,0.00404543
200,281,0.00428968
201,295,0.00450340
202,285,0.00435075
203,298,0.00454920
204,286,0.00436601
205,283,0.00432021
206,298,0.00454920
207,262,0.00399963
208,244,0.00372485
209,273,0.00416756
210,275,0.00419809
211,271,0.00413703
212,286,0.00436601
213,272,0.00415229
214,258,0.00393857
215,273,0.00416756
216,268,0.00409123
217,256,0.00390804
218,299,0.00456447
219,264,0.00403017
220,250,0.00381644
221,253,0.00386224
222,245,0.00374012
223,224,0.00341953
224,161,0.00245779
225,229,0.00349586
226,242,0.00369432
227,275,0.00419809
228,285,0.00435075
229,253,0.00386224
230,283,0.00432021
231,241,0.00367905
232,259,0.00395384
233,282,0.00430495
234,240,0.00366379
235,214,0.00326688
236,263,0.00401490
237,278,0.00424389
238,270,0.00412176
239,242,0.00369432
240,192,0.00293103
241,251,0.00383171
242,245,0.00374012
243,259,0.00395384
244,255,0.00389277
245,249,0.00380118
246,259,0.00395384
247,249,0.00380118
248,228,0.00348060
249,265,0.00404543
250,256,0.00390804
251,232,0.00354166
252,205,0.00312948
253,253,0.00386224
254,212,0.00323634
255,212,0.00323634
